year,month,time,price,wprice,pop
2015,2,11:25:02,74900,,
2015,2,11:25:03,74900,,
2015,2,11:25:04,74900,,
2015,2,11:25:05,74900,,
2015,2,11:25:06,74900,,
2015,2,11:25:07,74900,,
2015,2,11:25:08,74900,,
2015,2,11:25:09,74900,,
2015,2,11:25:10,74900,,
2015,2,11:25:11,74900,,
2015,2,11:25:12,74900,,
2015,2,11:25:13,74900,,
2015,2,11:25:14,74900,,
2015,2,11:25:15,74900,,
2015,2,11:25:16,74900,,
2015,2,11:25:17,74900,,
2015,2,11:25:18,74900,,
2015,2,11:25:19,74900,,
2015,2,11:25:20,74900,,
2015,2,11:25:21,74900,,
2015,2,11:25:22,74900,,
2015,2,11:25:23,74900,,
2015,2,11:25:24,74900,,
2015,2,11:25:25,74900,,
2015,2,11:25:26,74900,,
2015,2,11:25:27,74900,,
2015,2,11:25:28,74900,,
2015,2,11:25:29,74900,,
2015,2,11:25:30,74900,,
2015,2,11:25:31,74900,,
2015,2,11:25:32,74900,,
2015,2,11:25:33,74900,,
2015,2,11:25:34,74900,,
2015,2,11:25:35,74900,,
2015,2,11:25:36,74900,,
2015,2,11:25:37,74900,,
2015,2,11:25:38,74900,,
2015,2,11:25:39,74900,,
2015,2,11:25:40,75000,,
2015,2,11:25:41,75000,,
2015,2,11:25:42,75000,,
2015,2,11:25:43,75000,,
2015,2,11:25:44,75000,,
2015,2,11:25:45,75000,,
2015,2,11:25:46,75000,,
2015,2,11:25:47,75000,,
2015,2,11:25:48,75000,,
2015,2,11:25:49,75100,,
2015,2,11:25:50,75100,,
2015,2,11:25:51,75100,,
2015,2,11:25:52,75100,,
2015,2,11:25:53,75100,,
2015,2,11:25:54,75200,,
2015,2,11:25:55,75200,,
2015,2,11:25:56,75200,,
2015,2,11:25:57,75200,,
2015,2,11:25:58,75200,,
2015,2,11:25:59,75200,,
2015,2,11:26:00,75200,,
2015,2,11:26:01,75200,,
2015,2,11:26:02,75200,,
2015,2,11:26:03,75200,,
2015,2,11:26:04,75200,,
2015,2,11:26:05,75200,,
2015,2,11:26:06,75200,,
2015,2,11:26:07,75200,,
2015,2,11:26:08,75200,,
2015,2,11:26:09,75200,,
2015,2,11:26:10,75200,,
2015,2,11:26:11,75200,,
2015,2,11:26:12,75200,,
2015,2,11:26:13,75200,,
2015,2,11:26:14,75200,,
2015,2,11:26:15,75200,,
2015,2,11:26:16,75200,,
2015,2,11:26:17,75200,,
2015,2,11:26:18,75200,,
2015,2,11:26:19,75200,,
2015,2,11:26:20,75200,,
2015,2,11:26:21,75200,,
2015,2,11:26:22,75200,,
2015,2,11:26:23,75200,,
2015,2,11:26:24,75200,,
2015,2,11:26:25,75200,,
2015,2,11:26:26,75200,,
2015,2,11:26:27,75200,,
2015,2,11:26:28,75200,,
2015,2,11:26:29,75200,,
2015,2,11:26:30,75200,,
2015,2,11:26:31,75200,,
2015,2,11:26:32,75200,,
2015,2,11:26:33,75200,,
2015,2,11:26:34,75200,,
2015,2,11:26:35,75200,,
2015,2,11:26:36,75200,,
2015,2,11:26:37,75200,,
2015,2,11:26:38,75200,,
2015,2,11:26:39,75200,,
2015,2,11:26:40,75200,,
2015,2,11:26:41,75200,,
2015,2,11:26:42,75200,,
2015,2,11:26:43,75200,,
2015,2,11:26:44,75200,,
2015,2,11:26:45,75200,,
2015,2,11:26:46,75200,,
2015,2,11:26:47,75200,,
2015,2,11:26:48,75200,,
2015,2,11:26:49,75200,,
2015,2,11:26:50,75200,,
2015,2,11:26:51,75200,,
2015,2,11:26:52,75200,,
2015,2,11:26:53,75200,,
2015,2,11:26:54,75200,,
2015,2,11:26:55,75200,,
2015,2,11:26:56,75200,,
2015,2,11:26:57,75200,,
2015,2,11:26:58,75200,,
2015,2,11:26:59,75200,,
2015,2,11:27:00,75200,,
2015,2,11:27:01,75200,,
2015,2,11:27:02,75200,,
2015,2,11:27:03,75200,,
2015,2,11:27:04,75200,,
2015,2,11:27:05,75200,,
2015,2,11:27:06,75200,,
2015,2,11:27:07,75200,,
2015,2,11:27:08,75200,,
2015,2,11:27:09,75200,,
2015,2,11:27:10,75200,,
2015,2,11:27:11,75300,,
2015,2,11:27:12,75300,,
2015,2,11:27:13,75300,,
2015,2,11:27:14,75300,,
2015,2,11:27:15,75300,,
2015,2,11:27:16,75300,,
2015,2,11:27:17,75300,,
2015,2,11:27:18,75300,,
2015,2,11:27:19,75300,,
2015,2,11:27:20,75300,,
2015,2,11:27:21,75300,,
2015,2,11:27:22,75300,,
2015,2,11:27:23,75400,,
2015,2,11:27:24,75400,,
2015,2,11:27:25,75400,,
2015,2,11:27:26,75400,,
2015,2,11:27:27,75400,,
2015,2,11:27:28,75500,,
2015,2,11:27:29,75500,,
2015,2,11:27:30,75500,,
2015,2,11:27:31,75500,,
2015,2,11:27:32,75500,,
2015,2,11:27:33,75500,,
2015,2,11:27:34,75500,,
2015,2,11:27:35,75500,,
2015,2,11:27:36,75500,,
2015,2,11:27:37,75500,,
2015,2,11:27:38,75500,,
2015,2,11:27:39,75500,,
2015,2,11:27:40,75500,,
2015,2,11:27:41,75500,,
2015,2,11:27:42,75500,,
2015,2,11:27:43,75500,,
2015,2,11:27:44,75500,,
2015,2,11:27:45,75500,,
2015,2,11:27:46,75500,,
2015,2,11:27:47,75500,,
2015,2,11:27:48,75500,,
2015,2,11:27:49,75500,,
2015,2,11:27:50,75500,,
2015,2,11:27:51,75500,,
2015,2,11:27:52,75500,,
2015,2,11:27:53,75500,,
2015,2,11:27:54,75500,,
2015,2,11:27:55,75500,,
2015,2,11:27:56,75500,,
2015,2,11:27:57,75500,,
2015,2,11:27:58,75500,,
2015,2,11:27:59,75500,,
2015,2,11:28:00,75500,,
2015,2,11:28:01,75500,,
2015,2,11:28:02,75500,,
2015,2,11:28:03,75500,,
2015,2,11:28:04,75500,,
2015,2,11:28:05,75500,,
2015,2,11:28:06,75500,,
2015,2,11:28:07,75500,,
2015,2,11:28:08,75500,,
2015,2,11:28:09,75500,,
2015,2,11:28:10,75500,,
2015,2,11:28:11,75500,,
2015,2,11:28:12,75500,,
2015,2,11:28:13,75600,,
2015,2,11:28:14,75600,,
2015,2,11:28:15,75600,,
2015,2,11:28:16,75600,,
2015,2,11:28:17,75600,,
2015,2,11:28:18,75600,,
2015,2,11:28:19,75600,,
2015,2,11:28:20,75700,,
2015,2,11:28:21,75700,,
2015,2,11:28:22,75700,,
2015,2,11:28:23,75700,,
2015,2,11:28:24,75800,,
2015,2,11:28:25,75800,,
2015,2,11:28:26,75800,,
2015,2,11:28:27,75800,,
2015,2,11:28:28,75800,,
2015,2,11:28:29,75800,,
2015,2,11:28:30,75800,,
2015,2,11:28:31,75800,,
2015,2,11:28:32,75800,,
2015,2,11:28:33,75800,,
2015,2,11:28:34,75800,,
2015,2,11:28:35,75800,,
2015,2,11:28:36,75800,,
2015,2,11:28:37,75800,,
2015,2,11:28:38,75800,,
2015,2,11:28:39,75800,,
2015,2,11:28:40,75800,,
2015,2,11:28:41,75800,,
2015,2,11:28:42,75800,,
2015,2,11:28:43,75800,,
2015,2,11:28:44,75800,,
2015,2,11:28:45,75800,,
2015,2,11:28:46,75800,,
2015,2,11:28:47,75900,,
2015,2,11:28:48,75900,,
2015,2,11:28:49,75900,,
2015,2,11:28:50,75900,,
2015,2,11:28:51,75900,,
2015,2,11:28:52,75900,,
2015,2,11:28:53,75900,,
2015,2,11:28:54,76000,,
2015,2,11:28:55,76000,,
2015,2,11:28:56,76000,,
2015,2,11:28:57,76000,,
2015,2,11:28:58,76000,,
2015,2,11:28:59,76000,,
2015,2,11:29:00,76000,,
2015,2,11:29:01,76100,,
2015,2,11:29:02,76100,,
2015,2,11:29:03,76100,,
2015,2,11:29:04,76100,,
2015,2,11:29:05,76100,,
2015,2,11:29:06,76100,,
2015,2,11:29:07,76100,,
2015,2,11:29:08,76100,,
2015,2,11:29:09,76100,,
2015,2,11:29:10,76100,,
2015,2,11:29:11,76100,,
2015,2,11:29:12,76100,,
2015,2,11:29:13,76100,,
2015,2,11:29:14,76100,,
2015,2,11:29:15,76100,,
2015,2,11:29:16,76100,,
2015,2,11:29:17,76100,,
2015,2,11:29:18,76100,,
2015,2,11:29:19,76100,,
2015,2,11:29:20,76100,,
2015,2,11:29:21,76100,,
2015,2,11:29:22,76100,,
2015,2,11:29:23,76100,,
2015,2,11:29:24,76100,,
2015,2,11:29:25,76100,,
2015,2,11:29:26,76100,,
2015,2,11:29:27,76100,,
2015,2,11:29:28,76100,,
2015,2,11:29:29,76100,,
2015,2,11:29:30,76100,,
2015,2,11:29:31,76200,,
2015,2,11:29:32,76200,,
2015,2,11:29:33,76200,,
2015,2,11:29:34,76200,,
2015,2,11:29:35,76200,,
2015,2,11:29:36,76200,,
2015,2,11:29:37,76200,,
2015,2,11:29:38,76200,,
